Date,SiteName,WaterBody,County,Town,SamplingNotes,Subsite,Sample,Datum,Easting,Northing,BDS_PA,SurveyMethod,PointGroup
8/26/2021,OSSIPM,Ossipee River,Oxford,Porter,Lost meter stick in river. Stopped after 3 seine hauls because of BDS presence,NA,3,NAD-83,343796,4850680,1,Seine,
10/24/2021,PISCAT,Piscataqua River,Cumberland,Falmouth,Sampled at eDNA R2 site then moved upstream to below culvert.  Sampled eDNA R1 on way back.  Walked upstream and found more minnows in culvert in veg.,NA,1,NAD-83,394383,4847545,0,Seine,
10/24/2021,PISCAT,Piscataqua River,Cumberland,Falmouth,Sampled at eDNA R2 site then moved upstream to below culvert.  Sampled eDNA R1 on way back.  Walked upstream and found more minnows in culvert in veg.,NA,2,NAD-83,394381,4847547,0,Seine,
10/24/2021,PISCAT,Piscataqua River,Cumberland,Falmouth,Sampled at eDNA R2 site then moved upstream to below culvert.  Sampled eDNA R1 on way back.  Walked upstream and found more minnows in culvert in veg.,NA,3,NAD-83,394378,4847553,0,Seine,
10/24/2021,PISCAT,Piscataqua River,Cumberland,Falmouth,Sampled at eDNA R2 site then moved upstream to below culvert.  Sampled eDNA R1 on way back.  Walked upstream and found more minnows in culvert in veg.,NA,4,WGS-84,394360,4847595,0,Seine,
10/24/2021,PISCAT,Piscataqua River,Cumberland,Falmouth,Sampled at eDNA R2 site then moved upstream to below culvert.  Sampled eDNA R1 on way back.  Walked upstream and found more minnows in culvert in veg.,NA,5,WGS-84,394351,4847605,0,Seine,
10/24/2021,PISCAT,Piscataqua River,Cumberland,Falmouth,Sampled at eDNA R2 site then moved upstream to below culvert.  Sampled eDNA R1 on way back.  Walked upstream and found more minnows in culvert in veg.,NA,6,WGS-84,394390,4847506,0,Seine,
9/18/2021,PRESUM-01,Presumpscot River,Cumberland,Windham,Started at shallow backwater on western shore.  Seine hauls 2-3 on eastern shore in milfoil area.,A,1,NAD-83,383538,4845092,1,Seine,
9/18/2021,PRESUM-02,Presumpscot River,Cumberland,Windham,Started at shallow backwater on western shore.  Seine hauls 2-3 on eastern shore in milfoil area.,B,2,NAD-83,383602,4845217,0,Seine,
9/18/2021,PRESUM-02,Presumpscot River,Cumberland,Windham,Started at shallow backwater on western shore.  Seine hauls 2-3 on eastern shore in milfoil area.,B,3,NAD-83,383606,4845210,1,Seine,
10/11/2021,PROCPD-02,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",A,1,NAD-83,356628,4900276,0,Seine,
10/11/2021,PROCPD-02,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",A,2,WGS-84,356579,4900254,0,Seine,
10/11/2021,PROCPD-02,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",A,3,NAD-83,356583,4900250,0,Seine,
10/11/2021,PROCPD-02,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",A,4,NAD-83,356627,4900274,0,Seine,
10/11/2021,PROCPD-01,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",B,5,WGS-84,356353,4900506,0,Seine,
10/11/2021,PROCPD-01,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",B,6,WGS-84,356435,4900460,0,Seine,
10/11/2021,PROCPD-01,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",B,7,WGS-84,356526,4900663,0,Seine,
10/11/2021,PROCPD-02,Proctor Pond,Oxford,Albany Twp,"Sampled pond clockwise, starting with Dion property (PROCPD-02)",A,8,NAD-83,356726,4900424,0,Seine,
10/17/2021,SACONO-01,Saco River,Oxford,Hiram,"Subsite A corresponds with eDNA SACONO-01, Subsite B is an unsampled river backwater, and Subsite C corresponds with eDNA SACONO-02",A,1,NAD-83,353429,4862054,0,Seine,
